"movie_title","second_column"
"96 Souls",95
Hating Breitbart,92
Is That a Gun in Your Pocket?,92
The After Party,89
Home,86
Outside the Law,86
Fall,84
Everybody Knows... Elizabeth Murray,83
Knock Down the House,83
Sparkle,81
A Violent Separation,80
All Relative,80
Mysteries Of The Jesus Prayer,80
Vengeance Valley,80
Rainbow Brite and the Star Stealer,79
The Music of Silence,79
In God's Hands,79
Cover,78
Hannah Gadsby: Nanette,78
Traffic Stop,77
Playback,76
America: Imagine the World Without Her,76
Daisy Miller,76
Hillary's America: The Secret History of the Democratic Party,76
Out Cold,76
Amy Schumer Growing,75
Belly,75
Stonewall,75
State Property,74
An Acceptable Loss,74
Live At The Foxes Den,74
Modigliani,74
Breaking & Exiting,73
Angel Rodriguez,72
Facing the Giants,72
Shottas,72
The Brooklyn Banker,72
Sunset Park,71
Touching Wild Horses,71
Grind,71
Diary of a Mad Black Woman,71
Hangman,71
A Low Down Dirty Shame,71
Meet The Mormons,71
G.I. Blues,70
Something to Sing About,69
Fetching Cody,69
Autumn Lights,69
The Boondock Saints,69
Grandma's Boy,69
Last Ounce of Courage,69
Madea Goes to Jail,69
Madea's Family Reunion,69
Rise of the Footsoldier,69
Rustlers' Rhapsody,69
State Property 2,69
The Vanishing of Sidney Hall,69
VooDoo,68
Chopsticks,68
Drop Dead Fred,68
House Party 3,68
Charly (A Heartbeat Away),67
American Dresser,67
Dream a Little Dream,67
How Sweet It Is,67
I Hate Kids,67
Stations of the Elevated,67
Salvage,66
Sgt. Will Gardner,66
The Final Wish,66
The Professor,66
The Snow Queen,66
Third World Cop,66
Alien Raiders,66
Blood Brother,66
Lyle,66
My Life's In Turnaround,66
American Anthem,65
Chris Rock: Tamborine,65
Civil Brand,65
Experiment Perilous,65
Foolish,65
Frankenstein,65
Little Men,65
Merci Docteur Rey,65
Old Fashioned,65
See You Yesterday,65
A Thin Line Between Love and Hate,65
Which Way Is Up?,65
Penance,64
Sex Addict,64
Supremacy,64
The Condemned,64
Dave Chappelle: Sticks & Stones,64
Distorted,64
Estranged,64
Fred Won't Move Out,64
"One Cut, One Life",64
Whore,63
"8 Seconds",63
The Blood of Heroes,63
Casting About,63
Danger Close,63
God's Not Dead,63
Graduation,63
Helicopter Mom,63
House of D,63
Meet the Blacks,63
Sidekick,63
Step Up,63
The Lion of Judah,63
The Red Pill,63
La tigre e la neve (The Tiger and the Snow),63
Shaft,62
Shelley,62
Slappy and the Stinkers,62
The Man from Planet X,62
Bluebeard,62
Babylon,62
Beer for My Horses,62
Echoes of Innocence,62
Hello Herman,62
I'm Not Ashamed,62
The Life of David Gale,62
Living Among Us,62
My Way,62
Going the Distance,61
Sweet November,61
American Pie 5: The Naked Mile,61
Because I Said So,61
Blood Ransom,61
Dirty Love,61
Last of the Red Hot Lovers,61
My Uncle Rafael,61
No Manches Frida,61
Not Cool,61
Wirey Spindell,61
Peppermint,60
The Pest,60
Saving ZoĂ«,60
Stray Bullets,60
Conversations With God,60
Backgammon,60
La Novia Ensangrentada (The Blood Spattered Bride) (Blood Castle),60
Change in the Air,60
The Five Heartbeats,60
GTFO: Get the F&#% Out,60
Hi-Life,60
Mission Park,60
Close Range,59
Fallen,59
God Bless the Broken Road,59
"Hale County This Morning, This Evening",59
Harlem Nights,59
Jenny Slate: Stage Fright,59
Nate and Hayes,59
Night of the Living Deb,59
The Inhabitants,59
Persecuted,58
Songs From The North,58
Stealing Home,58
Tiger Orange,58
Under the Gun,58
All I Want for Christmas,58
"After Fall, Winter",58
Alice,58
Await Further Instructions,58
Beyond Borders,58
Blood Honey,58
The Covenant,58
Do You Believe?,58
Dying Laughing,58
Fast Company,58
I'm In Love With A Church Girl,58
The Inkwell,58
The Legend of Johnny Lingo,58
Love Thy Nature,58
Maniac,58
The Missionary,58
A Night at the Roxbury,58
Borderland,57
Thirst,57
The Wash,57
After,57
Atlas Shrugged: Part I,57
Between Worlds,57
Black Site,57
Brilliant Lies,57
Clifford,57
Crossover,57
Egg,57
Expelled: No Intelligence Allowed,57
I Can See You,57
It Started in Naples,57
Jigsaw,57
Just 45 Minutes From Broadway,57
Mad As Hell,57
Meet The Browns,57
A Murder of Crows,57
River Runs Red,57
Semi-Tough,57
Slaves of New York,57
Stomp the Yard,57
Strangeland,57
Supercross,57
The Darkest Minds,57
The Players Club,56
Raise Your Voice,56
Steve + Sky,56
Stone Bros,56
The Amityville Murders,56
The Dirt,56
The Identical,56
The Shack,56
The Souvenir,56
The Wedding Date,56
Where the Buffalo Roam,56
With Honors,56
You Got Served,56
Class Act,56
Antares,56
Almost Heroes,56
Atlas Shrugged: Part II,56
Bad Boys II,56
B&B,56
Belle's Magical World,56
Bright,56
The Disenchanted,56
For Greater Glory,56
Forever My Girl,56
Gods and Generals,56
Imitation Girl,56
Kingsglaive: Final Fantasy XV,56
Kung Pow! Enter the Fist,56
Legend Of The Demon Cat (KĂ»kai),56
Let the Sunshine In (Un beau soleil intĂ©rieur),56
Lucky Day,56
Mad Cowgirl,56
Red & White (Merah Putih),56
Mom and Me,56
Mr. Church,56
Mrs. Winterbourne,56
Murder Is My Beat,56
My Way,56
Nitro Circus: The Movie 3D,56
October Baby,56
Passage to Mars,56
A Kiss Before Dying,55
Weapons,55
A Wizard's Tale (Here Comes the Grump),55
After,55
Caught Up,55
Daddy's Little Girls,55
Death Wish,55
Disco Pigs,55
Don't Kill It,55
Empire Records,55
Four Rooms,55
The Gravedancers,55
I Now Pronounce You Chuck & Larry,55
I Want Your Money,55
John Q,55
Jonas Brothers: The 3D Concert Experience,55
Little Boy,55
Midgets vs. Mascots,55
Mohawk,55
Money Talks,55
National Lampoon's Senior Trip,55
Now and Then,55
P.S. I Love You,55
Roger Corman's Death Race 2050,55
Semper Fi,55
"Sex, Death And Bowling",55
Super Troopers,55
The Book Of Love,55
The Crash (Jekyll Island),55
The Forbidden Dance,55
The Influence (La influencia),55
Underworld: Evolution,55
Vigilante Diaries,55
A Pyromaniac's Love Story,54
Safe Haven,54
Sembene!,54
Sister Act 2: Back in the Habit,54
Still Smokin',54
The Arrangement,54
The Catered Affair,54
The Christmas Candle,54
The Evil Within,54
Trade of Innocents,54
War Room,54
Without a Paddle,54
Attack of the 50 Foot Woman,54
Joshua,54
"600 Miles",54
American Outlaws,54
Beyond the Gates,54
Brain on Fire,54
Captain Kidd,54
Cook Off!,54
The Detective,54
Get Rich or Die Tryin',54
God's Not Dead 2,54
Hari Kondabolu: Warn Your Relatives,54
Hate Crime,54
Hope Springs Eternal,54
Lulu on the Bridge,54
National Lampoon's Van Wilder,54
Next Friday,54
Unconditional Love,53
"50 to 1",53
The Benchwarmers,53
"Big Mommas: Like Father, Like Son",53
Brain Dead,53
Children of Love,53
Christmas Eve,53
Cocktail,53
Courageous,53
Deadline,53
The Dungeon Masters,53
For Keeps,53
The Hollywood Knights,53
How High,53
Jonathan Livingston Seagull,53
The Last Sin Eater,53
Lying and Stealing,53
Memoria,53
"Olympic Pride, American Prejudice",53
Same Kind of Different As Me,53
Seven Days In Utopia,53
Strange Illusion,53
The Treasure,53
A Throw of Dice,53
Troop Beverly Hills,53
When The Game Stands Tall,53
Who's Your Caddy?,53
The Perfect Man,52
Practical Magic,52
Pure Luck,52
Raajneeti,52
So B. It,52
Son Of God,52
Status Update,52
The Black Stallion Returns,52
The Cage Fighter,52
The Dead Center,52
The Domestics,52
The Hunting Party,52
This Revolution,52
Time For Ilhan,52
The Ultimate Gift,52
We Go On,52
Wicker Park,52
Woo,52
Abraham Lincoln,52
Countdown,52
The Jazz Singer,52
It Takes Two,52
Gone in 60 Seconds (Gone in Sixty Seconds),52
Bomb the System,52
Big Momma's House 2,52
A Sinner in Mecca,52
Bhool Bhulaiyaa,52
Bitter Harvest,52
Christmas Evil,52
David and Bathsheba,52
Don't Leave Home,52
F,52
Father of the Year,52
Found Footage 3D,52
Freedom,52
Good Luck Chuck,52
"Goodbye, Columbus",52
Grown Ups,52
Half Baked,52
Hot Air,52
I Am Sam,52
Illegal Tender,52
Joe Dirt,52
The Joy of Life,52
King Charles III,52
King Charles III,52
Legends of Oz: Dorothy's Return,52
Love Don't Cost a Thing,52
Maze,52
My Best Enemy,52
Smile,51
Neverwas,51
Oscar,51
Black Cloud,51
B.A.P.S.,51
Cheaper by the Dozen 2,51
Cirque Du Soleil: Worlds Away,51
The Deadly Companions (Trigger Happy),51
Delta of Venus,51
Dot the I,51
